用户名,评分,游戏时长,评论
﻿限量版绅士,3E+00,7小时42分钟,超想要光国啊qwq许愿光国！！20抽也塔非了叭qwq————————————对不起我不应该氪金的orz 我后悔了……8.10 2:57的反省————————————对不起我等不起QQ端了 在微信端氪金了【后续:已经修复啦_(:з」∠)_】—————————————这个ssr掉率也塔感人了吧 这么非的吗？？？【狂摸村中唯一希望:饭冈】 为了饭冈加一颗星..............................................................................................................—————建议₍ᐢ⸝⸝› ̫ ‹⸝⸝ᐢ₎————玩了微信端的感觉怎么说 我觉得女主的衣服还是角色衣服好看？感觉语音有点敷衍…？稍微少了一点点能改进的地方还有很多 有点粗糙人物到底是什么类型的 希望能在排面上有个小标虚拟/付费这个设定emmm不太习惯最希望是能调整一下出货率啦希望能出一点备战组 每次都换队员有点不方便体力不够！！15551砖石换率也太高了吧（还有一些之后在补充吧）－——－－－－——－－－－————第一下评论⁽⁽ଘ(๑ơ ω ơ๑)ଓ⁾⁾15551我好难过 qwq首先是闪退回档 但是我等级低且剧情可以跳过就算了但是出站一共要三个人物 我横竖只有两个 根本没法出站然后我想退出去在抽一个人物吧 它说要我跟从指引完全不能进行下一步了啊qwq！只能换成微信端了重启也没用……是我那里操作有问题吗？如果修复的话 答案会修改的 对不起现在只能给两颗星 一颗给声优一颗给期待
﻿七瑾,1E+00,2小时18分钟,刚刚玩的，开始满怀信心的玩着，刷着图，看画风也还行  终于攒够了二十抽，当当当当   UR可把我给激动坏了，好像是德川  嗯，立马养他啊。正开花呢  ，突然网络没了，说维护  行 ，我重新进，排队，ennnn小小几百人，排。进去一看？？？？我的UR呢？我的德川呢？？没了，对，没了。。包括我半个小时之前完成的任务？重新完成？什么鬼  时间回溯？官方解释一下吧，你不想给我UR就算了塞，给了又收回去是什么意思  玩不起？体验极差
﻿滴滴喂,1E+00,,玩着玩着掉线了然后登不上去了…我看中间数据异常的玩家要修复对吧————首先氪金氪了498左右，钻石总共两千多，买了个十连包抽了百六池子的ur，再次上线，游戏重置，ur不见了，钻石不见了，铃铛不见了，98的付费钻喂狗吃了？这就是游戏体验？本来准备好好玩段时间的，官方劝退还可以，我钱能还给我吗，游戏道具也没有，钱被你们黑了？————像这种可以举报吗？这不和骗钱一样…钱给了，东西不见了，算不算诈骗…
﻿子律（已禁言）,3E+00,11分钟,打扰了，女主的脸是认真的吗，宁是一个女性向游戏，(被怼了不是乙女，我改了)为什么要把女主画的那么丑，你知道我过新手教程的时候整个人就很害怕吗，就那个女主，她不知道为什么，没有高光，眼睛间距很大，我第一眼还没看到鼻子，就她失忆很可怜，但是她为什么没有高光，其他人都有高光，还有起名字的时候，我切到qq回了句话，回来系统就自动给我起名字了，然后剧情里大家就叫我2000300017771，嗯这就是我的名字...我哭死没想到是横版过关模式，感觉动作特效做的还可以，但是对不起，女主脸真心把我劝退了，我宁愿回去当婶婶，而且真的很出戏，大家都在抢三日月，爷爷魅力太大也是种罪啊
﻿辛罗,1E+00,3小时24分钟,哥你在回档什么啊哥，我搞不懂了-好，一直玩到现在，我觉得这游戏真是不能再惨一点了。开服疯狂回档＋掉线送的那点补偿啊咦惹你打发要饭的啊？你开服奖励还只送3发单抽真的没问题吗？太抠了吧哥？抽卡概率感人得要死，r卡百分之八十，sr百分之十五，ssr百分之四，ur百分之一，我不懂这是哪个天才想出来的，你当你的sr还真就这么高贵拜托你是有ssr和ur的游戏好吗？？要不要点脸啊？？？我抽一堆r卡我图什么啊？？？？连个紫光都难见我是要靠你送的那两个保底恰饭吗？？？？我不是很懂你放个看板在主界面，没事想戳他点半天触发不了语音一触发语音就要隐藏界面是什么鬼才设计？我没事就想戳一下好吗怎么这么麻烦啊？还有很多地方都不足，不想骂了，不知道测试这么久测试去什么地方了，这么期待的一款游戏结果是这样的，失望。-你妈飞了我ur出了你给我回档
﻿Asmolfn,3E+00,1小时57分钟,麻麻！【暴风式哭泣】我走了三次新手流程，这也就不说啥了，可是，为啥你....你...你的玉...【忍着不吐血】还有免费和付费的区别啊！！！！！我想买个新手礼包不充钱不氪金还买不到！！！虾米啊！！！给我们这些非洲人一条出路啊qwq除了保底啥的，你告诉我，20张卡就6种角色，六个sr全是一样的，r里面五个一样的，我....我....唔啊啊啊啊什么意思嘛！！！！【哭泣哭泣】虽然做游戏很辛苦的，可是...可是....我还是先冷静冷静，过阵子再来玩吧(╥﹏╥)————————————（第三次修改）啥⊙∀⊙？听说发放了全服20连抽奖补助？？！！够给力的喵₍ᐢ⸝⸝› ̫ ‹⸝⸝ᐢ₎默默加上一星【失忆了】，剩下两星星扣给小人立绘画风还有莫名其妙的高重复概率吧QWQ————————————（第四次修改）啊啊啊啊啊，为啥重新下载过后我又被回档了(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)又得从新手任务开始(Ｔ▽Ｔ)我要把星星扣回去，我之前氪的小钱钱，啊啊啊，我的四个SSR(つд⊂)————————————（第五次修改）看到名字被占用的我退出来看了看...对不起，我错了，我走错服务区了，什么时候多加了个服务区的说○○（＞＜）○○小星星给你凑回去
﻿鹿鹿鹿lu,1E+00,1小时5分钟,我收回之前夸奖的话，当然立绘画师跟cv老师辛苦了。执剑之刻这游戏牛逼。开服第一天，我充的钱，抽到的老婆跟我的账号材料全部回档成1级空号。 刚开服出了这么大事官方不愿意停服维护，补偿只有2.5抽的游戏货币跟3抽铃铛。我的老婆要等一个工作日才能慢慢还回来，材料跟资源还有氪金都要找客服讨回。讨回需要记录截图。谁他妈没事打游戏肝材料的时候截图？你强行以服务器正在维护的理由把我卡下线，再上线我账号回档了我上哪截图去，穿梭时空吗？？？出现这么大面积的玩家账号回档，贵方不自己去检查后台程序还要玩家自己给你反馈？游戏程序数据出了这么大纰漏舍不得补偿？？？？真他妈没有同行的衬托就看不出来刀男有优秀，我亲眼看着刚开服的9.1掉到现在5.3。到底是什么原因掉的这么快官方还能真的没有数吗？
﻿代号小红帽,3E+00,2分钟,先不说他掉不掉吧就说游戏测试服：我玩过的测试服，游戏主界面很好看抽卡什么的都挺满意的，战斗界面和背景也是喜欢的风格，小人物跑起来什么都画风也都很好看，删档以后也是很期待的，真的夸一波测试服！！！真的好看！和风感很足，我都以为是日式游戏汉化过来的。👏👏👏👏鼓掌测试服期待值很高（测试服47小时）我貌似是去年玩的正式：现在正式的出来了，我玩了一会儿傻了，完全不一样了，主界面啥的都改了？？感觉偏儿童向？？界面和按钮啥的都不一样了，可以去测试服看游戏截图，现在小人物感觉偏卡通？？？有种很微妙的唯美滤镜？？？战斗时候的背景给人也不一样了，消方块我记得开大本来是有音效的，消的时候会有快感（莫名其妙的，现在完全没有反而框在一把刀里面也没有啥音效方块感觉都变小了？？？抽卡也是一定要滑一下那个刀，我玩懵了？还有战斗大招图标跟测试服完全不一样特效变差了。跟测试服完全给人一种两个游戏（指游戏界面美术风格）但是人物立绘和故事内容还是一样的。但是改了界面啥的我是不能接受，我总不能只听声音吧。本来我就是学艺术的，你这改的游戏给我的感觉低了两个档次，两分钟我都坚持不下来打扰了😭五分给测试服两分扣给现在的这游戏（我不认识这游戏了我真的爱测试服！！！我的ssr雪美人啊啊啊！！！我就当这游戏绝版了吧。叹气
﻿孤單又燦爛的神,3E+00,2小时51分钟,真是期望有多大，失望就有多大我是这么认为的，这个技能点按就像消消乐呢，来来回回的单消三消的就这几种真的会无聊，他的技能机制也不是很清楚，不是所有人都会认真看到底是怎么点技能效果更好，而且这个玩法过于鸡肋，人物跑来跑去，，希望丰富技能释放方式，还有关于战斗的场面建议优化一下，为什么一定要像排队一样呢，可以平面自己安排站位不好吗？自动模式就是为了给嫌麻烦的玩家设置的，但是自动模式并不是很智能，出现啥就点啥，为了最大伤害你有不得不手动点按，这就有点。。。游戏画面啥的还可以接受，CV啥的也很精彩，，但是游戏要做的更精彩才能有常驻玩家，不然玩家对游戏的热度也会逐渐消退，
﻿鹤未归,2E+00,11分钟,17年到现在也有一年多快两年了吧，从鸢飞永测到现在。期望越高失望越大真的不是假的。星星给企划和画师。不说别的，我真的不知道说什么能让你们停服维护一下，永测，缘结，悸动，从来都是只要不是***烦就热更新，这是公测了，没时间让你浪热更新了，你们时间有限我们也是在为你们腾时间出来玩你们的游戏。凌晨ios可以下载，安卓死活不放通知，然后今天提早偷跑开服一小时。哦还得亏是提前一小时，不然服务器炸的多惨。那么大面积的服务器波动和账号异常，我真的想把你们管市场的人的脑子撬开好好看看，为什么不停服维护？为什么不知道把损害降到最低？你开着服务器就还有数据流通，在这个时候你想修复什么问题？你们这些看着评论的工作人员真的有好好把意见反馈上去吗？永测也是表示这次公测有些东西一出来根本没接触到过，旧bug还没修，你们又不往永测投放新版本测试，你不测试你怎么知道你bug好了？服务器承受能力呢？每次都是已知已知，我知道你已知了你修了，修好了吗？最后我心疼一波玩家群管，管理员都在群里被暴躁玩家当靶子使，有些乌烟瘴气的一直在群里搅浑水，管理也因为规定无可奈何，你停服维护一下哪里有那么多事儿！你们有空安抚玩家引发更多的暴躁情绪真不如直接关了让所有人静静调试好再开！！
﻿无边困乏,2E+00,2小时32分钟,我是克鲁赛德玩家，对这个同类型的游戏做出如下评价很多人反映游戏无聊，在我看来完全是人物面板的问题，攻击力和血量应该是成适当比例的， 而现在战斗中的情形是：打boss掉血慢，而boss打我也不怎么掉血，按理来说打boss像抛光，那攻击力低血量应该也低，这种情况下应该打不过boss直接暴毙，而实际却是boss打在角色身上根本不疼，导致双方僵持好久另外，角色技能图标不够明确，没明显特征，搞得我只能开局每个人技能都点一遍，来确认哪个是哪个以及氪金价格偏高，开服福利较少，开荒难以上-----------------有人杠我框，那我就给删了，原先是为了说我并非是什么云玩家，但这反正和我想表达的内容也没什么冲突，评价重心还是执剑这个游戏
﻿喵咕,2E+00,20分钟,碰到了回档还好是刚下游戏还能忍，但作为一个参加了两次内测的玩家这个URssr出率真的不能忍就这还敢号称升了概率加了保底！？你当内测玩家都是傻子吗？网络问题还是没优化好，内测的时候就是网断了切网就得后台强退游戏再登录现在还是！体力问题根本就没人管是吗？横向比比这么多手游你游体力最贵好伐！还有这反复炸服是什么情况，感觉内测都比现在要稳定好不好！两次内测都给了四星以上，这次你什么时候把问题解决了什么时候再考虑把分数拉回来！还有啊！你看看内测的时候有多少玩家在说女主立绘问题不说好不好看但你这个一直歪头谁受得了结果呢！你游直接把全屏大立绘改成小头像就算完了！？我勒个去你游捡到鬼了！
﻿十字无伤,2E+00,,说真的，对于一个常年***玩日服游戏的，免费付费蓬莱玉分开，我开始是很习惯的，甚至有点亲切？但无论梦100茜色文野什么的免费送的或肝的照样能抽卡，甚至优先消耗免费，你这免费不能抽卡，甚至低阶的辉夜池都不行，那它就失去最基本也最重要的作用了，除了来新角色买浴衣，也没什么新鲜玩法了，开服各种礼包一堆蓬莱玉，一个免费不让抽卡，我要这么多堆那做什么，逼氪也太明显了吧？还有那个25个任务得SSR的活动，每一档任务都有氪金，最后一个128也叫小氪一下？开服氪金给福利可以有，但你可以单独列个活动吗？和靠肝完成任务拿报酬的活动放一起不膈应吗？我不想氪金，所以准备老老实实肝出卡来，结果你这种活动都要放上氪金项，怕我忽略，为了特意提醒我不氪金与别人差距有多大吗？我现在前三档差不多做完了，当然你要搞个回档清零的骚操作我也没法子，每次看完成情况，一溜儿的已完成，剩下底下的“小氪一下”空白。先等着吧，终于愿意停服维护了，两小时后再登，要是我的光国没了……呵呵。卸载一星投诉三连。
﻿世上名,2E+00,43分钟,我发四这真的是最后一次摸了：昨晚凌晨一点多看见弹出了道歉信和公告，我又打开了游戏，对8起我是个意志力为零讲话不算数的女人……官方对于开服福利和崩溃送了两个十连和一堆不能抽卡的免费玉……？？没关系，我就当我是半途进的游戏没有福利好了，小问题。确实女玩家们一直按不住为老公氪金的手，氪金真的很快乐，摸到老公更快乐。可能是我见识太少，这个游戏的氪金法我见的还真不多……免费玉不能抽卡池……？？可是很多礼包包括月卡给的都是免费玉啊？这啥意思啊……没关系，问题不大，多氪点就ha……多氪点也没用，氪了还是抽不到(｡í _ ì｡)这掉率和yys如出一辙，可是人家r卡也很好用啊……这是堆数值的游戏吧，不是yys那种搭配游戏啊，低级卡又不好看又没用……半夜两点给我玩清醒了，悲愤放下手机，梦里还特么在抽丑丑的r和sr卡ಠ~ಠ————————再体验忏悔：我有罪，我应该中午就删了的，可是我没有，不仅没有我刚刚还悄咪咪的上线摸了一下……嗯？？为什么和我早上还有中午抽到的人不一样？这是啥？这把没有经历回档直接就给我换人了？？？秀的，真的很秀了————————这个！游戏！是怎么回事啊！！我估摸着都这会了服务器应该修好了就又上了，是不是我的操作有问题啊？？可是我全程跟着指引走的啊！它让我开第一章，结果又说我出战人数不足三人，我就想先退出来抽卡，可是退不出来啊！！这是强制指引啊！我都退出游戏重登三回了，还是只能按他的箭头点！指引开启第一章剧情→出战→出战人数不足→想退出抽卡→提示指引过程中无法退出……这是什么死循环啊？？眼看着游戏开服评分暴跌，都跌到和恋一个分了……头好痛，一天崩了俩游戏……
﻿燕晨,2E+00,21分钟,有幸参加过一次内测。开服我还挺激动的，预约了那么久的游戏开服了，刚进去一开始还好。打着打着就转圈圈了操作不了，我还以为我网差，退出去重新登了一下，直接归档，抽的卡sr没了几个，预约领的ur被吞。。。呵呵。无语了这波操作。台服我也玩过一段时间，和国服刚开服比，还是国服福利好一点，没想到它闹这种幺蛾子。。两星给立绘，nb弄出服务器的问题，官方不自己查数据，让玩家自己去向它反馈。第一次看见这样的操作，补偿500个，打发乞丐？半个十连都不够。就凭官方对待玩家的态度，我就不可能玩下去，我来打游戏放松的不是来受气的。呵呵，这游戏我是无语了。
﻿硝石,2E+00,,看热评底下说是因为有的玩家游戏没出没问题才不肯好好关服维护，美名其曰保护人家的正常游戏体验？那我想问，有人正常游戏，有人出问题麻烦一堆，最后大家一起拿补偿，正常游戏的人玩的舒坦/练度领先/给的补偿也拿到了，这对出问题的玩家而言公平吗？而且只要服务器还开着，新进来的玩家就总有出问题的，你们是在自己给自己增加工作量吗？回档没把我怎么样，倒是出了问题不关服维护把我气到了。拜拜吧。
﻿九月初一,1E+00,1小时26分钟,好的这次公告总算正面回答了我想知道的问题了那我等着游戏本身还是不错的我等晚上十点🙂----------------------------------------------------------我刚刚又去看了眼公告我笑死了公告让我找客服，好的没问题然后点进客服——其实那个不叫客服就是个打好了所有字的界面吧——那里头的“联系客服”选项让我去找微信“腾讯客服”处理问题好的我去了，QQ账号也绑定了结果猜怎么着Q:“执剑之刻:我在维护前买了礼包，维护之后出现了回档，礼包和充值累积就都没有了”A:“关于该游戏的玩法等相关问题，请咨询该游戏客服，若您有关于腾讯充值的问题，请详细描述哦。”woc哈哈哈哈哈哈哈哈我头呢我头去哪了可能是我见识少但是我真的是第一次见到这种无限循环踢锅的操作天哪哈哈哈哈哈哈哈哈----------------------------------------------------------我真傻，真的我单知道官方会复制黏贴那对很多人来说毫无意义看了还会生气的公告，我不知道还能干脆不回复看到回复好多人让我降，我还是降了吧……我就当逛街钱包掉了……以及，我是女的……----------------------------------------------------------我只想说一句……你们服务器不稳定就不要开氪金啊……别人的钱是天上掉下来的还是什么？？实不相瞒我刚氪完金还没来得抽卡就闪退然后再登发现服务器维护想着反正也不着急抽卡等着呗结果维护完发现我还得再氪一遍？？？然后看见了公告……哦还是会处理的那还好……结果刚刚我看公告你补偿抽到的卡消失那我充了钱还没抽卡的你打算怎么办？？？顺带一提我现在给二星，要是我收到的回复是把公告部分内容复制黏贴的话我直接降到一星了
